Code,Model Info
D1-02-02-A-S,S20
D1-02-02-B-S,S20
D1-02-05-S,S20 FE/S20 LITE
D1-02-03-S,S10 5G
D1-01-04-A-S,S10+
D1-01-04-B-S,S10+
D1-02-04-A-S,S10+
D1-02-04-B-S,S10+
D1-01-03-S,S10
D1-01-05-A-S,S10E
D1-01-05-B-S,S10E
E3-05-06-A-S,S22
E3-05-06-B-S,S22+
J02-02-03-S,S21U 
J02-02-04-S,S21U 
J0-01-01-S,S21+
J0-01-02-S,S21+
J0-01-03-S,S21+
J0-01-04-S,S21+
J0-01-05-S,S21+ 
J0-01-06-S,S21+
J0-04-07-S,S21 
J0-06-07-S,S21 
J01-03-05-S,S21fe
J01-01-07-S,S21fe 
J01-02-07-S,S21 Fe
J01-03-07-S,S21 fe 
J01-04-07-S,S21 fe 
J01-05-07-S,S21 Fe 
J02-04-03-S,S20U 
J02-04-04-S,S20U
J02-04-05-S,S20U 
J02-04-06-S,S20U
J0-03-02-S,S20+
J0-03-04-S,S20+ 
J0-02-06-S,S20+
J0-02-01-S,S20
J0-02-02-S,S20
J0-02-03-S,S20
J0-02-04-S,S20
J0-02-05-S,S20
J0-01-07-S,S20fe 
J0-02-07-S,S20fe 
J0-05-02-S,S10+ 
J0-05-04-S,S10+ 
J0-05-05-S,S10+ 
J0-06-03-S,S10+ 
J0-06-02-S,S10 
J0-06-04-S,S10 
J0-07-01-S,S10 FE
J0-07-02-S,S10 FE
J0-07-03-S,S10 FE 
J0-07-04-S,S10 FE
J0-07-05-S,S10 FE
J0-07-06-S,S10 FE 
J02-05-02-S,S10 5G 
J02-05-03-S,S10 5G 
J02-05-04-S,S10 5G 
J02-05-05-S,S10 5G 
J0-08-01-S,S9+
J0-08-02-S,S9+ 
J0-08-03-S,S9+
J0-08-04-S,S9+ 
J0-08-05-S,S9+ 
J0-08-06-S,S9+
J0-03-05-S,S9 
J0-03-07-S,S9 
J0-04-01-S,S9 
J0-04-04-S,S9 
K01-05-01-S,N20U 
K01-05-02-S,N20U
K01-05-03-S,N20U
K01-05-04-S,N20U 
K01-01-01-S,N20
K01-01-02-S,N20
K01-01-03-S,N20 
K01-01-04-S,N20
K01-01-05-S,N20 
J02-01-01-S,N10
J02-01-02-S,N10
J02-01-03-S,N10
J02-01-04-S,N10 
J02-01-05-S,N10 
J02-01-06-S,N10 
K01-02-01-S,N9
K01-02-02-S,N9
K01-02-03-S,N9
K01-02-04-S,N9 
K01-02-05-S,N9 
K01-02-06-S,N9 
J01-07-01-S,A72
J01-07-05-S,A72
J01-05-01-S,A52
J01-05-02-S,A52
J01-05-03-S,A52
J01-05-04-S,A52 
J01-05-05-S,A52 
J01-05-06-S,A52
J02-07-01-S,A42 
J02-07-03-S,A42 
J02-07-04-S,A42 
J02-07-05-S,A42 
J02-07-06-S,A42 
J01-06-01-S,A32 5G 
J01-06-02-S,A32 5G
J01-06-03-S,A32 5G 
J01-06-04-S,A32 5G 
J01-06-05-S,A32 5G 
J01-06-06-S,A32 5G 
J01-02-01-S,A22
J01-02-02-S,A22
J01-02-03-S,A22
J01-02-04-S,A22
J01-02-05-S,A22 
J01-02-06-S,A22 
J02-06-01-S,A71 
J02-06-03-S,A71
J02-06-04-S,A71
J02-06-05-S,A71 
J01-03-01-S,A51
J01-03-02-S,A51 
J01-03-03-S,A51
J01-03-04-S,A51
J01-03-06-S,A51
J02-05-07-S,A50 
J02-06-07-S,A50 
J02-07-07-S,A50 
J01-04-01-S,A30 
J01-04-03-S,A30
J01-04-04-S,A30 
J01-04-05-S,A30 
J01-04-06-S,A30 
J01-01-01-S,A20
J01-01-02-S,A20 
J01-01-03-S,A20
J01-01-04-S,A20
J01-01-05-S,A20 
J01-01-06-S,A20
D1-01-01-A-S,S22U
D1-05-03-B-S,S20
D1-06-01-B-S,S10 (Discontinue After Finish Selling)
K1-06-01A-S,S20U
K1-06-03B-S,S20+
D1-05-04-A-S,S20
K1-06-08B-S,S20FE 5G
D1-06-03-S,S10+
D1-03-01-S,S22+
D1-04-01-A-S,S21+
D1-06-02-A-S,S20+
D1-05-04-B-S,S20
D1-06-04-A-S,S10+ (Discontinue After Finish Selling)
D1-01-01-B-S,S22U
D1-03-02-A-S,S22+
D1-04-01-B-S,S21+
D1-05-01-A-S,S20U
D1-06-02-B-S,S20+
D1-05-02-A-S,S20
D1-06-04-B-S,S10+
D1-03-05-A-S,N20
D1-03-02-B-S,S22+
D1-04-02-S,S21+
D1-05-01-B-S,S20U
D1-05-03-A-S,S20+
D1-05-02-B-S,S20
D1-06-01-A-S,S20FE 5G
D1-03-05-B-S,N20
G1-01-01-BLUE-S,S21+
G1-01-01-PURPLE-S,S21+
G1-01-01-GOLD-S,S21+
G1-01-01-SILVER-S,S21+
G1-01-01-RED-S,S21+
G1-01-01-PINK-S,S21+
G1-01-01-BLACK-S,S21+
G1-01-02-BLUE-S,S21U
G1-01-02-PURPLE-S,S21U
G1-01-02-GOLD-S,S21U
G1-01-02-SILVER-S,S21U
G1-01-02-RED-S,S21U
G1-01-02-PINK-S,S21U
G1-01-02-BLACK-S,S21U
G1-02-01-BLUE-S,A32 4G
G1-02-01-PURPLE-S,A32 4G
G1-02-01-GOLD-S,A32 4G
G1-02-01-SILVER-S,A32 4G
G1-02-02-RED-S,A32 4G
G1-02-02-PINK-S,A32 4G
G1-02-02-BLACK-S,A32 4G
C5-05-06-A-S,A03s
D1-05-06-B-S,A03s
D1-05-06-A-S,A03s
D1-06-06-A-S,A03s
D1-06-06-B-S,A03s
D1-06-07-B-S,A11
C5-05-06-B-S,A11
C5-05-07-A-S,A12
C5-01-01-BROWN-S,A12
C5-01-01-BLACK-S,A12
C5-02-01-GREY-S,A12
C5-02-01-PINK-S,A12
C5-05-07-B-S,A13
C5-01-02-BROWN-S,A13
C5-01-02-BLACK-S,A13
C5-02-02-GREY-S,A13
C5-02-02-PINK-S,A13
C5-06-06-A-S,A20
C5-06-06-B-S,A21
C5-01-04-BROWN-S,A21
C5-01-04-BLACK-S,A21
C5-02-04-GREY-S,A21
C5-02-04-PINK-S,A21
C5-06-07-A-S,A22
C5-01-05-BROWN-S,A22 5G
C5-01-05-BLACK-S,A22 5G
C5-02-05-GREY-S,A22 5G
C5-02-05-PINK-S,A22 5G
C5-06-07-B-S,A23
C5-01-06-BROWN-S,A23
C5-01-06-BLACK-S,A23
C5-02-06-GREY-S,A23
C5-02-06-PINK-S,A23
C5-01-03-BROWN-S,A30
C5-01-03-BLACK-S,A30
C5-02-03-GREY-S,A30
C5-02-03-PINK-S,A30
M3-04-06-A-S,A31
C5-01-07-BROWN-S,A31
C5-01-07-BLACK-S,A31
C5-02-07-GREY-S,A31
C5-02-07-PINK-S,A31
C5-03-01-BROWN-S,A32 5G
C5-03-01-BLACK-S,A32 5G
C5-04-01-GREY-S,A32 5G
C5-04-01-PINK-S,A32 5G
C5-03-02-BROWN-S,A33 5G
C5-03-02-BLACK-S,A33 5G
C5-04-02-GREY-S,A33 5G
C5-04-02-PINK-S,A33 5G
C5-03-03-BROWN-S,A42 5G
C5-03-03-BLACK-S,A42 5G
C5-04-03-GREY-S,A42 5G
C5-04-03-PINK-S,A42 5G
C5-03-04-BROWN-S,A50
C5-03-04-BLACK-S,A50
C5-04-04-GREY-S,A50
C5-04-04-PINK-S,A50
C5-03-05-BROWN-S,A51
C5-03-05-BLACK-S,A51
C5-04-05-GREY-S,A51
C5-04-05-PINK-S,A51
C5-03-06-BROWN-S,A52 5G
C5-03-06-BLACK-S,A52 5G
C5-04-06-GREY-S,A52 5G
C5-04-06-PINK-S,A52 5G
C5-03-07-BROWN-S,A53 5G
C5-03-07-BLACK-S,A53 5G
C5-04-07-GREY-S,A53 5G
C5-04-07-PINK-S,A53 5G
C5-05-01-BROWN-S,A70
C5-05-01-BLACK-S,A70
C5-06-01-PINK-S,A70
C5-05-02-BROWN-S,A71
C5-05-02-BLACK-S,A71
C5-06-02-GREY-S,A71
C5-06-02-PINK-S,A71
C5-05-03-BROWN-S,A72 5G
C5-05-03-BLACK-S,A72 5G
C5-06-03-GREY-S,A72 5G
C5-06-03-PINK-S,A72 5G
D1-06-05-B-S,A73
D1-06-05-A-S,A73
D1-05-05-B-S,A73
D1-05-05-A-S,A73
C5-05-04-BROWN-S,A73 5G
C5-05-04-BLACK-S,A73 5G
C5-06-04-GREY-S,A73 5G
C5-06-04-PINK-S,A73 5G
C5-05-05-BROWN-S,A80
C5-05-05-BLACK-S,A80
C5-06-05-GREY-S,A80
C5-06-05-PINK-S,A80
G4-03-03-B-S,S23 FE/S23+
G4-03-03-A-S,S23 FE/S23+
G4-04-03-B-S,S23 FE/S23+
G4-03-01-A-S,S23 FE/S23+
G4-04-03-A-S,S23 FE/S23+
G4-03-01-B-S,S23 FE/S23+
G4-03-04-A-S,S23 
G4-06-01-A-S,S23 
G4-03-04-B-S,S23 
G4-04-04-B-S,S23 
G4-04-04-A-S,S23 
G4-04-01-A-S,S23U
G4-04-02-B-S,S23U
G4-04-02-A-S,S23U
G4-04-01-B-S,S23U
G4-03-02-A-S,S23U
G4-03-02-B-S,S23U
C3-03-05-PINK-S,S22 
C3-03-05-BLUE-S,S22 
C3-03-05-GOLD-S,S22 
C3-03-05-PURPLERED-S,S22 
C3-04-05-BLACK-S,S22+ 
C3-04-05-SILVER-S,S22+ 
C3-04-05-PINK-S,S22+ 
C3-04-05-PURPLEBLUE-S,S22+ 
C3-04-05-BLUE-S,S22+ 
C3-04-05-GOLD-S,S22+ 
C3-04-05-PURPLERED-S,S22+ 
C3-03-02-SILVER-S,S22U
C3-03-02-PINK-S,S22U
C3-03-02-PURPLEBLUE-S,S22U
C3-03-02-BLUE-S,S22U
C3-03-02-GOLD-S,S22U
NONE (PURPLERED)-S,S22U
C3-03-06-PINK-S,S21 
C3-03-06-PURPLEBLUE-S,S21 
C3-03-06-BLUE-S,S21 
C3-03-06-GOLD-S,S21 
C3-04-06-BLACK-S,S21+ 
C3-04-06-SILVER-S,S21+ 
C3-04-06-PINK-S,S21+ 
C3-04-06-PURPLEBLUE-S,S21+ 
C3-04-06-BLUE-S,S21+ 
C3-04-06-GOLD-S,S21+ 
C3-04-06-PURPLERED-S,S21+ 
C3-03-03-SILVER-S,S21U
C3-03-03-PINK-S,S21U
C3-03-03-PURPLEBLUE-S,S21U
C3-03-03-BLUE-S,S21U
C3-03-03-GOLD-S,S21U
C3-03-03-PURPLERED-S,S21U
C3-04-03-SILVER-S,S21 FE
C3-04-03-PINK-S,S21 FE
C3-04-03-PURPLEBLUE-S,S21 FE
C3-04-03-BLUE-S,S21 FE
C3-04-03-GOLD-S,S21 FE
C3-04-03-PURPLERED-S,S21 FE
C3-04-04-BLACK-S,S20 FE
